Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
0,0,1,0.1656
0,0,1,0.1639
0,0,1,0.16858333333333334
0,0,1,0.16008333333333333
0,0,1,0.15115
0,0,1,0.15426666666666666
0,0,1,0.15253333333333333
0,0,1,0.16281666666666667
0,0,1,0.15246666666666667
0,0,1,0.16178333333333333
0,0,1,0.17116666666666666
0,0,1,0.1646
0,0,1,0.16006666666666666
0,0,1,0.15195
0,0,1,0.16686666666666666
0,0,1,0.16646666666666668
0,0,1,0.15261666666666668
0,0,1,0.16328333333333334
0,0,1,0.15995
0,0,1,0.1569
0,0,1,0.1573
0,0,1,0.15806666666666666
0,0,1,0.16298333333333334
0,0,1,0.15448333333333333
0,0,1,0.1602
0,0,1,0.15411666666666668
0,0,1,0.15366666666666667
0,0,1,0.15251666666666666
0,0,1,0.16221666666666668
0,0,1,0.16541666666666666
0,0,1,0.15965
0,0,1,0.15961666666666666
0,0,1,0.16293333333333335
0,0,1,0.15651666666666667
0,0,1,0.15346666666666667
0,0,1,0.15786666666666666
0,0,1,0.16125
0,0,1,0.16738333333333333
0,0,1,0.15785
0,0,1,0.16153333333333333
0,0,1,0.15938333333333332
0,0,1,0.16731666666666667
0,0,1,0.16283333333333333
0,0,1,0.16963333333333333
0,0,1,0.1642
0,0,1,0.1662
0,0,1,0.15868333333333334
0,0,1,0.15486666666666668
0,0,1,0.16333333333333333
0,0,1,0.16638333333333333
0,0,1,0.16268333333333335
0,0,1,0.15456666666666666
0,0,1,0.15513333333333335
0,0,1,0.17216666666666666
0,0,1,0.16375
0,0,1,0.15575
0,0,1,0.15345
0,0,1,0.16456666666666667
0,0,1,0.16413333333333333
0,0,1,0.15816666666666668
0,0,1,0.13941666666666666
0,0,1,0.16871666666666665
0,0,1,0.16298333333333334
0,0,1,0.16278333333333334
0,0,1,0.15713333333333335
0,0,1,0.16475
0,0,1,0.15256666666666666
0,0,1,0.15605
0,0,1,0.15425
0,0,1,0.17036666666666667
0,0,1,0.15221666666666667
0,0,1,0.16326666666666667
0,0,1,0.15651666666666667
0,0,1,0.16236666666666666
0,0,1,0.14603333333333332
0,0,1,0.15731666666666666
0,0,1,0.15791666666666668
0,0,1,0.16135
0,0,1,0.17833333333333334
0,0,1,0.1566
0,0,1,0.16885
0,0,1,0.15863333333333332
0,0,1,0.16113333333333332
0,0,1,0.16001666666666667
0,0,1,0.15626666666666666
0,0,1,0.15381666666666666
0,0,1,0.1611
0,0,1,0.15526666666666666
0,0,1,0.16055
0,0,1,0.15223333333333333
0,0,1,0.16051666666666667
0,0,1,0.15533333333333332
0,0,1,0.1659
0,0,1,0.15983333333333333
0,0,1,0.15793333333333334
0,0,1,0.1621
0,0,1,0.15785
0,0,1,0.15263333333333334
0,0,1,0.15851666666666667
0,0,1,0.15836666666666666
